SPB_20170300_60pp.csv         |     crsa.izmiran.ru     |          sql insertion failure at:  |  2020-07-24 13:07:35.726624
SPB_20170400_60pp.csv         |     crsa.izmiran.ru     |          sql insertion failure at:  |  2020-07-24 13:07:41.831962
SPB_20170500_60pp.csv         |     crsa.izmiran.ru     |          sql insertion failure at:  |  2020-07-24 13:07:47.714624
SPB_20170300_60pp.csv         |     crsa.izmiran.ru     |          sql insertion failure at:  |  2020-07-24 13:08:24.600288
SPB_20170400_60pp.csv         |     crsa.izmiran.ru     |          sql insertion failure at:  |  2020-07-24 13:08:30.265047
SPB_20170500_60pp.csv         |     crsa.izmiran.ru     |          sql insertion failure at:  |  2020-07-24 13:08:36.129688
SPB_20170300_60pp.csv         |     crsa.izmiran.ru     |          sql insertion failure at:  |  2020-07-24 14:35:35.218369
SPB_20170400_60pp.csv         |     crsa.izmiran.ru     |          sql insertion failure at:  |  2020-07-24 14:35:40.604266
SPB_20170500_60pp.csv         |     crsa.izmiran.ru     |          sql insertion failure at:  |  2020-07-24 14:35:46.416014
SPB_20170300_60pp.csv         |     crsa.izmiran.ru     |          sql insertion failure at:  |  2020-07-24 14:37:02.579611
SPB_20170400_60pp.csv         |     crsa.izmiran.ru     |          sql insertion failure at:  |  2020-07-24 14:37:08.132540
SPB_20170500_60pp.csv         |     crsa.izmiran.ru     |          sql insertion failure at:  |  2020-07-24 14:37:15.436890
SPB_20170300_60pp.csv         |     crsa.izmiran.ru     |          sql insertion failure at:  |  2020-07-24 14:37:25.099581
SPB_20170400_60pp.csv         |     crsa.izmiran.ru     |          sql insertion failure at:  |  2020-07-24 14:37:31.771980
SPB_20170500_60pp.csv         |     crsa.izmiran.ru     |          sql insertion failure at:  |  2020-07-24 14:37:37.580610
SPB_20170300_60pp.csv         |     crsa.izmiran.ru     |          sql insertion failure at:  |  2020-07-24 14:39:23.946279
SPB_20170400_60pp.csv         |     crsa.izmiran.ru     |          sql insertion failure at:  |  2020-07-24 14:39:29.285587
SPB_20170500_60pp.csv         |     crsa.izmiran.ru     |          sql insertion failure at:  |  2020-07-24 14:39:35.682134
SPB_20170300_60pp.csv         |     crsa.izmiran.ru     |          sql insertion failure at:  |  2020-07-24 14:45:13.243832
SPB_20170400_60pp.csv         |     crsa.izmiran.ru     |          sql insertion failure at:  |  2020-07-24 14:45:19.366187
SPB_20170500_60pp.csv         |     crsa.izmiran.ru     |          sql insertion failure at:  |  2020-07-24 14:45:26.132192
SPB_20170300_60pp.csv         |     crsa.izmiran.ru     |          sql insertion failure at:  |  2020-07-24 14:55:08.412347
SPB_20170400_60pp.csv         |     crsa.izmiran.ru     |          sql insertion failure at:  |  2020-07-24 14:55:15.351359
SPB_20170500_60pp.csv         |     crsa.izmiran.ru     |          sql insertion failure at:  |  2020-07-24 14:55:21.842694
SPB_20170300_60pp.csv         |     crsa.izmiran.ru     |          sql insertion failure at:  |  2020-07-24 15:38:50.849167
SPB_20170400_60pp.csv         |     crsa.izmiran.ru     |          sql insertion failure at:  |  2020-07-24 15:38:56.383512
SPB_20170500_60pp.csv         |     crsa.izmiran.ru     |          sql insertion failure at:  |  2020-07-24 15:39:02.730667
SPB_20170300_60pp.csv         |     crsa.izmiran.ru     |          sql insertion failure at:  |  2020-07-24 15:40:37.897578
SPB_20170400_60pp.csv         |     crsa.izmiran.ru     |          sql insertion failure at:  |  2020-07-24 15:40:43.371360
SPB_20170500_60pp.csv         |     crsa.izmiran.ru     |          sql insertion failure at:  |  2020-07-24 15:40:48.712334
